time,price_fc,actual_price
2025-09-25 01:23:59.999000+00:00,113190.11692875744,113110.58
2025-09-25 01:24:59.999000+00:00,113188.78649487636,113114.0
2025-09-25 01:25:59.999000+00:00,113187.45606099525,113142.52
2025-09-25 01:26:59.999000+00:00,113186.12562711416,113079.53
2025-09-25 01:27:59.999000+00:00,113184.79519323308,113075.68
2025-09-25 01:28:59.999000+00:00,113183.464759352,113070.72
2025-09-25 01:29:59.999000+00:00,113182.13432547088,113079.98
2025-09-25 01:30:59.999000+00:00,113180.8038915898,112987.99
2025-09-25 01:31:59.999000+00:00,113179.47345770872,112987.99
2025-09-25 01:32:59.999000+00:00,113178.14302382764,112936.35
2025-09-25 01:33:59.999000+00:00,113176.81258994654,112859.11
2025-09-25 01:34:59.999000+00:00,113175.48215606544,112874.36
2025-09-25 01:35:59.999000+00:00,113174.15172218435,112903.1
2025-09-25 01:36:59.999000+00:00,113172.82128830328,112928.12
2025-09-25 01:37:59.999000+00:00,113171.49085442218,112892.23
2025-09-25 01:38:59.999000+00:00,113170.1604205411,112839.92
2025-09-25 01:39:59.999000+00:00,113168.82998666,112749.99
2025-09-25 01:40:59.999000+00:00,113167.49955277891,112761.43
2025-09-25 01:41:59.999000+00:00,113166.16911889784,112716.79
2025-09-25 01:42:59.999000+00:00,113164.83868501674,112775.56
2025-09-25 01:43:59.999000+00:00,113163.50825113566,112707.46
2025-09-25 01:44:59.999000+00:00,113162.17781725456,112700.0
2025-09-25 01:45:59.999000+00:00,113160.84738337348,112739.28
2025-09-25 01:46:59.999000+00:00,113159.5169494924,112780.57
2025-09-25 01:47:59.999000+00:00,113158.1865156113,112764.46
2025-09-25 01:48:59.999000+00:00,113156.85608173022,112763.71
2025-09-25 01:49:59.999000+00:00,113155.52564784912,112732.51
2025-09-25 01:50:59.999000+00:00,113154.19521396804,112663.69
2025-09-25 01:51:59.999000+00:00,113152.86478008697,112578.99
2025-09-25 01:52:59.999000+00:00,113151.53434620588,112678.08
2025-09-25 01:53:59.999000+00:00,113150.20391232477,112477.73
2025-09-25 01:54:59.999000+00:00,113148.87347844368,112484.31
2025-09-25 01:55:59.999000+00:00,113147.5430445626,112488.09
2025-09-25 01:56:59.999000+00:00,113146.21261068153,112604.07
2025-09-25 01:57:59.999000+00:00,113144.8821768004,112624.23
2025-09-25 01:58:59.999000+00:00,113143.55174291931,112627.51
2025-09-25 01:59:59.999000+00:00,113142.22130903824,112661.24
2025-09-25 02:00:59.999000+00:00,113140.89087515716,112780.01
2025-09-25 02:01:59.999000+00:00,113139.56044127606,112799.56
2025-09-25 02:02:59.999000+00:00,113138.23000739496,112816.59
2025-09-25 02:03:59.999000+00:00,113136.89957351387,112806.91
2025-09-25 02:04:59.999000+00:00,113135.5691396328,112818.08
2025-09-25 02:05:59.999000+00:00,113134.2387057517,112838.51
2025-09-25 02:06:59.999000+00:00,113132.90827187062,112811.24
2025-09-25 02:07:59.999000+00:00,113131.57783798952,112779.57
2025-09-25 02:08:59.999000+00:00,113130.24740410844,112760.98
2025-09-25 02:09:59.999000+00:00,113128.91697022736,112708.26
2025-09-25 02:10:59.999000+00:00,113127.58653634628,112738.74
2025-09-25 02:11:59.999000+00:00,113126.25610246518,112752.48
2025-09-25 02:12:59.999000+00:00,113124.9256685841,112674.98
2025-09-25 02:13:59.999000+00:00,113123.595234703,112674.99
2025-09-25 02:14:59.999000+00:00,113122.26480082193,112669.56
2025-09-25 02:15:59.999000+00:00,113120.93436694084,112662.94
2025-09-25 02:16:59.999000+00:00,113119.60393305974,112616.77
2025-09-25 02:17:59.999000+00:00,113118.27349917864,112600.95
2025-09-25 02:18:59.999000+00:00,113116.94306529756,112604.41
2025-09-25 02:19:59.999000+00:00,113115.61263141649,112532.12
2025-09-25 02:20:59.999000+00:00,113114.2821975354,112513.86
2025-09-25 02:21:59.999000+00:00,113112.9517636543,
2025-09-25 02:22:59.999000+00:00,113111.6213297732,
